"","text","schooltype","T3F_54","id"
"1","De bewering van Kleenex is ongefundeerd aangezien haar bronnen niet controleerbaar zijn De gebruikte sites en een samenwerkingsverband met Worchester University bieden beiden geen concrete antwoorden De online bronnen waarop het merk zich beroept zijn weer afgeleidt aan sites die de beweringen niet ondersteunen of simpelweg onjuist zijn Ook het maken van een nationale schatting naar hooikoorst is complex aangezien het aantal niet wordt bijgehouden doordat het seizoensgebonden en varierend per jaar is en er geen dokstersbezoek nodig is Het CMR bewaard sinds de gediagnostiseerde hooikoorstgevallen waarbij in de periode een stijging zichbaar is Maar door de makkelijke behandelbaarheid biedt dit geen prevalentie onder de gehele bevolking Ook de bewering dat de hooikoorst is verdubbeld blijkt ongegrond want er zijn geen exacte cijfer in Nederland vanuit de laatste jaar beschikbaar en dus kan worden vastgesteld dat het onderzoek van Kleenex ongefundeerd is","vwo",10,1
"2","Een op de vijf mensen heeft last van hooikoorts en dat aandeel groeit drastisch aldus Kleenex Deze beweringen zijn ongepundeerd Zo worden als bronnen de EAACI het KNMI en Allergiesitenl genoemd Laatsgenoemde bestaat niet meer en de andere twee bronnen herkennen de informatie niet Daarbij houdt niemand aantallen bij omdat deze seizoensgebonden zijn en varieren per jaar Bij een onderzoek van het RIVM wordt geschat dat eenderde van de Nederlands bevolking last heeft van neusallergie Dit biedt echter geen uitsluitsel aangezien er geen onderscheid wordt gemaakt tussen verschillende vormen Ook zijn de cijfers van het CMR niet betrouwbaar omdat die uitgaan van doktersbezoeken terwijl lang niet iedereen de dokter bezoekt De bewering dat er een verdubbeling plaats heeft gevonden is daarbij ook nog onwaarschijnlijk aangezien het aantal geregistreerde gevallen afneemt Er zijn voor Nederland dus geen accurate cijfers beschikbaar waardoor de bewering van Kleenex als ongepundeerd beschouwd kan worden","vwo",13,2
"3","Wij van nextcheckt vinden de bewering van Kleenex ongefundeerd Kleenex stelt dat een op de vijf mensen last heeft van hooikoorst en dat het aantal drastisch groeit Allereerst is het ongefundeerd omdat de bronnen van Kleenex niet achterhaalbaar zijn andere gegevens bevatten De dat de site eruit is De Bronnen zijn dus niet te controleren Daarnaast zijn deze gegevens eberhaupt lastig vast te stellen Hooikoorts is moeilijk te meten aangezien het per seizoen en jaar verschillend is Daarnaast hoef je ervoor niet naar de huisarts om een recept te krijgen voor medicijnen Vaak wordt er bij onderzoek naar dergelijke problemen geen onderscheid gemaakt tussen gewoon neusallergie door hooikoorts en door andere oorzaken De uitspraak een op de vijf is niet onwaarschijnlijk Het CMR rapporteert ook een stijging maar dat het aantal drastisch groeit en er sprake is van verdubbeling lijkt vrij onwaarschijnlijk","vwo",11,3
"4","De bewering van Kleenex is ongefundeerd want het blijkt lastig om een schatting te maken van het aantal mensen met hooikoorts Het Wordt niet bijgehouden en de klachten zijn seizoensgebonden De bronnen van Kleenex zijn niet controleerbaar Zo verzamelt de CMR door huisartsen gediagnosticeerde gevallen van hooikoorts maar deze bieden geen uitsluitsel over prevalentie onder de gehele bevolking omdat lang niet iedereen een huisarts bezoekt Het RIVM schat dat eenderde last heeft van een neusallergie maar er wordt geen onderscheidt gemaakt tussen huiskoorts en andere vormen Er heeft geen verdubbeling plaatsgevond want de groei van het aantal huisarts geregistreerde neemt af Voor Nederland zijn er geen actuele cijfers beschikbaar over het aantal mensen met hooikoorts en het interne onderzoek van Kleenex is niet inzichtelijk gemaakt Ook is de bewering van Kleenex tweeledig en blijft de vraag wanneer er eigenlijk sprake is van hooikoorts","vwo",9,4
"5","Kleenex beweert dat een op de vijf mensen in Nederland last van hooikoorts heeft en dat dit aantal drastisch groeit De bewering wordt als ongfundeerd beschouwd om verschillende redenen De eerste rede waardoor de bewering van Kleenex niet hard te maken is zijn de bronnen waarop het onderzoek gebasseerd is Deze zijn alle drie niet controleerbaar De tweede rede is het probleem dat men heeft om een stijging in het aantal hooikoortspatienten aan te tonen Er zijn te veel soorten neusallergien die onherkenbaar woord niet van onherkenbaar woord bij cijfers over huisarts en lang niet alle patienten gaan naar de huisarts van een diagnose De tweeledige bewering van Kleenex is dus ongefundeerd ","vwo",8,5
"6","Volgens zakdoekjesproducent Kleenex heeft hooikoorts een hoogtepunt bereikt Nexcheckt beoordeeld deze bewering als ongefundeerd De uitspraak van Kleenex is gebaseerd op eigen onderzoek en uitsluitend voor intern gebruik Kleenex heeft bijvoorbeeld de bron Allergiesitenl gebruikt deze bestaat niet meer en herkent de gebruikte cijfers niet Het KNMI is ook gebruikt maar deze zegt geen hooikoortscijfers te hebben Het is lastig een schatting van het aantal hooikoortspatienten te maken Aantallen worden niet bijgehouden omdat klachten seizoensgebonden zijn en per jaar varieren Het CMR verzamelt door huisartsen gediagnosticeerde gevallen van hooikoorts deze bieden geen uitsluitsel over prevalentie onder de gehele bevolking Het is niet mogelijk om de prevalentie van hooikoorts in Nederland te bepalen Dus de uitspraak een op de vijf Nederlands heeft hooikoorts is niet zeker De bronnen van Kleenex zijn niet controleerbaar Accurate hooikoortscijfers zijn niet beschikbaar en Kleenex onderzoek is niet inzichtelijk gemaakt Dus de uitspraak is ongefundeerd","vwo",13,6
"7","Het oordeel ongefundeerd van nextcheckt wordt gerechtsvaardigd omdat als bron Allergiesitenl en de Europese Academie van Allergieen worden genoemd Die laatste zegt het cijfer niet te herkennen en Allergiesitenl bestaat niet meer Ook het KNMI zegt geen vermeende hooikoortscijfers te hebben Niemand houdt de aantallen bij want de klachten zijn seizoensgebonden en varieren per jaar Doktersbezoek is vaak niet nodig en medicijnen zijn zonder recept verkrijgbaar Het Nationaal Kompas Volksgezondeheid van het RIVM schat dat ongeveer eenderde van de Nederlandse bevolking last heeft van een neusallergie maar daarbij geen onderscheid wordt gemaakt tussen hooikoorts en andere vormen Die schatting biedt dus geen uitsluitsel De continue Morbiditeitsregistratie verzamelt door huisartsen gediagnoticeerde gevallen van hooikoorts Die bieden echter geen uitsluitsel over prevalent onder de gehele bevolking omdat lang niet iedereen de huisarts bezoekt wegens hooikoortsklachten De bronnen waar Kleenex zich op zegt te baseren zijn niet controleerbaar","vwo",11,7
"8","De bewering van Kleenex is dat Een op de vijf mensen last heeft van hooikoorts en dat aantal groeit drastisch Nextcheckt geeft aan dat deze bewering ongefungeerd is Kleenex heeft gebruik gemaakt van bronnen een artikel van gezondheidsnet en een persbericht van Biohorma Beide bronnen hebben zelf geen controleerbare bronnen Het aantal hooikoortsgevallen is moeilijk te schatten en wordt ook niet bijgehouden Wel wordt er onderzoek gedaan naar allergieen maar binnen deze onderzoeken wordt er geen scheiding gemaakt tussen hooikorts en andere vormen Ook deze bronnen zijn hierdoor dus niet geldig Wel worden gediagnosticeerde gevallen van hooikoorts bijgehouden Dit biedt echter geen uitsluitsel over het aantal over het aantal over de gehele bevolking Niet iedereen gaat voor hooikoortsklachten naar de dokter Het aantal diagnoses neemt toe maar een verdubbeling lijkt onwaarschijnlijk Omdat de bronnen niet controleerbaar zijn is de bewering van kleenex ongefungeerd","vwo",12,8
"9","Zakdoekjesproducent Kleenex beweert dat hooikoorts een hoogte punt bereikt er hebben steeds meer mensen last van Het is een groeiend probleem Maar niemand houdt de daadwerkelijke aantallen bij Hooikoorts is seizoensgebonden allergie De uitspraak dat op de hooikoorts heeft is niet per direct ongeloofwaardig Maar het aantal mensen met hooikoorts neemt wel toe Een verdubbeling is onwaarschijnlijk Dus de uitspraak is ongefundeerd","vwo",5,9
"10","Kleenex beweert dat een op de vijf mensen last heeft van hooikoorts en dat dit aantal drastisch groeit Als bron worden de de EAACI en Allergiesitenl genoemd Die laatste bestaat niet langer en een woordvoerder van het EAACI zegt het cijfer niet te herkennen Ook het KNMI zegt geen hooikoortscijfers te hebben Het is lastig om een schatting van het aantal hooikoortspatienten te maken niemand houdt deze aantallen bij aangezien de klachten seizoensgebonden zijn en varieren per jaar Het RIVM schat dat enderde van de Nederlanders last heeft van neusallergie maar maakt geen onderscheid tussen hooikoorts en andere vormen Het CMR verzamelt het aantal hooikoortsgevallen bij huisartsen Ook dit biedt geen uitsluitsel omdat niet iedereen de huisarts bezoekt bij hooikoortsklachten Een verdubbeling in de laatste jaar is onwaarschijnlijk want de groei van het aantal bij huisarts geregistreerde gevallen neemt af Kleenex bewering is dus ongefundeerd","vwo",12,10
"11","Kleenex beweert eigen onderzoek te hebben verricht dit is echter niet zo Het artikel van gezondheidsnetnl heeft een bron verleend die niet meer bestaat Daarnaast herkent het EAACI het cijfer niet van gezondheidsnetnl De bron van biohorma is afkomstig van het KNMI De KNMI heeft echter geen cijfer van hooikoorts De bewering van Kleenex is tweeledig Er wordt niet goed onderscheid gemaakt tussen verschillende soorten allergien Onderzoek van Kleenex is niet inzichtelijk gemaakt ","vwo",8,11
