"line","text","examen","schooltype","id","toets_id","school_id","leerling_id","T3F_54"
1,"De bewering van Kleenex is ongefundeerd aangezien haar bronnen niet controleerbaar zijn. De gebruikte sites en een samenwerkingsverband met Worchester University bieden beiden geen concrete antwoorden. De online bronnen waarop het merk zich beroept zijn weer afgeleidt aan sites die de beweringen niet ondersteunen of simpelweg onjuist zijn. Ook het maken van een nationale schatting naar hooikoorst is complex, aangezien het aantal niet wordt bijgehouden doordat het seizoensgebonden en vari�rend per jaar is en er geen dokstersbezoek nodig is. Het CMR bewaard sinds  de gediagnostiseerde hooikoorstgevallen waarbij in de periode - een stijging zichbaar is. Maar door de makkelijke behandelbaarheid biedt dit geen prevalentie onder de gehele bevolking. Ook de bewering dat de hooikoorst is verdubbeld blijkt ongegrond, want er zijn geen exacte cijfer in Nederland vanuit de laatste - jaar beschikbaar en dus kan worden vastgesteld dat het onderzoek van Kleenex ongefundeerd is.","T81-210040098.txt","vwo","P1","T81",80,98,10
3,"E�n op de vijf mensen heeft last van hooikoorts en dat aandeel groeit drastisch, aldus Kleenex. Deze beweringen zijn ongepundeerd. Zo worden als bronnen de EAACI, het KNMI en Allergie-site.nl genoemd. Laatsgenoemde bestaat niet meer, en de andere twee bronnen herkennen de informatie niet. Daarbij houdt niemand aantallen bij omdat deze seizoensgebonden zijn en vari�ren per jaar. Bij een onderzoek van het RIVM wordt geschat dat eenderde van de Nederlands bevolking last heeft van neusallergie. Dit biedt echter geen uitsluitsel aangezien er geen onderscheid wordt gemaakt tussen verschillende vormen. Ook zijn de cijfers van het CMR niet betrouwbaar omdat die uitgaan van doktersbezoeken, terwijl lang niet iedereen de dokter bezoekt. De bewering dat er een verdubbeling plaats heeft gevonden is daarbij ook nog onwaarschijnlijk, aangezien het aantal geregistreerde gevallen afneemt. Er zijn voor Nederland dus geen accurate cijfers beschikbaar, waardoor de bewering van Kleenex als ongepundeerd beschouwd kan worden.","T81-210040100.txt","vwo","P2","T81",80,100,13
4,"Wij van next.checkt vinden de bewering van Kleenex ongefundeerd Kleenex stelt dat een op de vijf mensen last heeft van hooikoorst en dat het aantal drastisch groeit. Allereerst is het ongefundeerd omdat de bronnen van Kleenex niet achterhaalbaar zijn andere gegevens bevatten De dat de site eruit is. De Bronnen zijn dus niet te controleren Daarnaast zijn deze gegevens �berhaupt lastig vast te stellen Hooikoorts is moeilijk te meten aangezien het per seizoen en jaar verschillend is. Daarnaast hoef je ervoor niet naar de huisarts om een recept te krijgen voor medicijnen Vaak wordt er bij onderzoek naar dergelijke problemen geen onderscheid gemaakt tussen gewoon neusallergie door hooikoorts en door andere oorzaken. De uitspraak een op de vijf is niet onwaarschijnlijk. Het CMR rapporteert ook een stijging, maar dat het aantal drastisch groeit en er sprake is van verdubbeling lijkt vrij onwaarschijnlijk.","T81-210040101.txt","vwo","P3","T81",80,101,11
5,"De bewering van Kleenex is ongefundeerd want het blijkt lastig om een schatting te maken van het aantal mensen met hooikoorts. Het Wordt niet bijgehouden en de klachten zijn seizoensgebonden De bronnen van Kleenex zijn niet controleerbaar Zo verzamelt de CMR door huisartsen gediagnosticeerde gevallen van hooikoorts, maar deze bieden geen uitsluitsel over prevalentie onder de gehele bevolking, omdat lang niet iedereen een huisarts bezoekt. Het RIVM schat dat eenderde last heeft van een neusallergie maar er wordt geen onderscheidt gemaakt tussen huiskoorts en andere vormen. Er heeft geen verdubbeling plaatsgevond want de groei van het aantal huisarts geregistreerde neemt af. Voor Nederland zijn er geen actuele cijfers beschikbaar over het aantal mensen met hooikoorts en het interne onderzoek van Kleenex is niet inzichtelijk gemaakt. Ook is de bewering van Kleenex tweeledig en blijft de vraag wanneer er eigenlijk sprake is van hooikoorts.","T81-210040102.txt","vwo","P4","T81",80,102,9
6,"Kleenex beweert dat een op de vijf mensen in Nederland last van hooikoorts heeft en dat dit aantal drastisch groeit. De bewering wordt als ongfundeerd beschouwd om verschillende redenen. De eerste rede waardoor de bewering van Kleenex niet hard te maken is, zijn de bronnen waarop het onderzoek gebasseerd is. Deze zijn alle drie niet controleerbaar. De tweede rede is het probleem dat men heeft om een stijging in het aantal hooikoortspatienten aan te tonen. Er zijn te veel soorten neusallergi�n die (onherkenbaar woord) niet van (onherkenbaar woord) bij cijfers over huisarts en lang niet alle patienten gaan naar de huisarts van een diagnose. De tweeledige bewering van Kleenex is dus ongefundeerd. ","T81-210040103.txt","vwo","P5","T81",80,103,8
7,"Volgens zakdoekjesproducent Kleenex heeft hooikoorts een hoogtepunt bereikt. Nex.checkt beoordeeld deze bewering als ongefundeerd. De uitspraak van Kleenex is gebaseerd op eigen onderzoek en uitsluitend voor intern gebruik. Kleenex heeft bijvoorbeeld de bron Allergie-site.nl gebruikt, deze bestaat niet meer en herkent de gebruikte cijfers niet. Het KNMI is ook gebruikt maar deze zegt geen hooikoortscijfers te hebben. Het is lastig een schatting van het aantal hooikoortspati�nten te maken. Aantallen worden niet bijgehouden omdat klachten seizoensgebonden zijn en per jaar vari�ren. Het CMR verzamelt door huisartsen gediagnosticeerde gevallen van hooikoorts, deze bieden geen uitsluitsel over prevalentie onder de gehele bevolking. Het is niet mogelijk om de prevalentie van hooikoorts in Nederland te bepalen. Dus de uitspraak ""��n op de vijf Nederlands heeft hooikoorts"" is niet zeker De bronnen van Kleenex zijn niet controleerbaar. Accurate hooikoorts-cijfers zijn niet beschikbaar en Kleenex' onderzoek is niet inzichtelijk gemaakt. Dus de uitspraak is ongefundeerd.","T81-210040105.txt","vwo","P6","T81",80,105,13
8,"Het oordeel 'ongefundeerd' van next.checkt wordt gerechtsvaardigd omdat als bron Allergie-site.nl en de Europese Academie van Allergie�n worden genoemd. Die laatste zegt het cijfer niet te herkennen en Allergie-site.nl bestaat niet meer. Ook het KNMI zegt geen vermeende hooikoortscijfers te hebben. Niemand houdt de aantallen bij want de klachten zijn seizoensgebonden en vari�ren per jaar. Doktersbezoek is vaak niet nodig en medicijnen zijn zonder recept verkrijgbaar. Het Nationaal Kompas Volksgezondeheid van het RIVM schat dat ongeveer eenderde van de Nederlandse bevolking last heeft van een neusallergie, maar daarbij geen onderscheid wordt gemaakt tussen hooikoorts en andere vormen. Die schatting biedt dus geen uitsluitsel. De continue Morbiditeitsregistratie verzamelt door huisartsen gediagnoticeerde gevallen van hooikoorts. Die bieden echter geen uitsluitsel over prevalent onder de gehele bevolking, omdat lang niet iedereen de huisarts bezoekt wegens hooikoortsklachten. De bronnen waar Kleenex zich op zegt te baseren, zijn niet controleerbaar.","T81-210040106.txt","vwo","P7","T81",80,106,11
9,"De bewering van Kleenex is dat 'Een op de vijf mensen last heeft van hooikoorts en dat aantal groeit drastisch'. Next.checkt geeft aan dat deze bewering ongefungeerd is. Kleenex heeft gebruik gemaakt van  bronnen. een artikel van gezondheids.net en een persbericht van Biohorma. Beide bronnen hebben zelf geen controleerbare bronnen. Het aantal hooikoortsgevallen is moeilijk te schatten en wordt ook niet bijgehouden. Wel wordt er onderzoek gedaan naar allergie�n, maar binnen deze onderzoeken wordt er geen scheiding gemaakt tussen hooikorts en andere vormen. Ook deze bronnen zijn hierdoor dus niet geldig. Wel worden gediagnosticeerde gevallen van hooikoorts bijgehouden. Dit biedt echter geen uitsluitsel over het aantal over het aantal over de gehele bevolking. Niet iedereen gaat voor hooikoortsklachten naar de dokter. Het aantal diagnoses neemt toe, maar een verdubbeling lijkt onwaarschijnlijk. Omdat de bronnen niet controleerbaar zijn, is de bewering van kleenex ongefungeerd.","T81-210040107.txt","vwo","P8","T81",80,107,12
10,"Zakdoekjesproducent Kleenex beweert dat hooikoorts een hoogte punt bereikt, er hebben steeds meer mensen last van. Het is een groeiend probleem. Maar niemand houdt de daadwerkelijke aantallen bij. Hooikoorts is seizoensgebonden allergie. De uitspraak dat  op de  hooikoorts heeft is niet per direct ongeloofwaardig. Maar het aantal mensen met hooikoorts neemt wel toe Een verdubbeling is onwaarschijnlijk Dus de uitspraak is ongefundeerd.","T81-210040108.txt","vwo","P9","T81",80,108,5
11,"Kleenex beweert dat een op de vijf mensen last heeft van hooikoorts en dat dit aantal drastisch groeit. Als bron worden de de EAACI en Allergie-site.nl genoemd. Die laatste bestaat niet langer en een woordvoerder van het EAACI zegt het cijfer niet te herkennen. Ook het KNMI zegt geen hooikoortscijfers te hebben. Het is lastig om een schatting van het aantal hooikoortspati�nten te maken, niemand houdt deze aantallen bij aangezien de klachten seizoensgebonden zijn en vari�ren per jaar. Het RIVM schat dat enderde van de Nederlanders last heeft van neusallergie maar maakt geen onderscheid tussen hooikoorts en andere vormen. Het CMR verzamelt het aantal hooikoortsgevallen bij huisartsen. Ook dit biedt geen uitsluitsel omdat niet iedereen de huisarts bezoekt bij hooikoortsklachten. Een verdubbeling in de laatste - jaar is onwaarschijnlijk want de groei van het aantal bij huisarts geregistreerde gevallen neemt af. Kleenex' bewering is dus ongefundeerd.","T81-210040109.txt","vwo","P10","T81",80,109,12
